P,S,T,S^2,PxS,Px(S^2),(P^2) xS,(P^2) x (S^2),Temp
25,1755,1810,3080025,43875,77000625,1096875,1925015625,46
25,1753,1820,3073009,43825,76825225,1095625,1920630625,45
25,1728,1830,2985984,43200,74649600,1080000,1866240000,44
25,1719,1840,2954961,42975,73874025,1074375,1846850625,44
25,1695,980,2873025,42375,71825625,1059375,1795640625,42
25,1725,990,2975625,43125,74390625,1078125,1859765625,42
25,1759,1000,3094081,43975,77352025,1099375,1933800625,42
25,1847,2030,3411409,46175,85285225,1154375,2132130625,42
26,2332,1640,5438224,60632,141393824,1576432,3676239424,54
26,2042,270,4169764,53092,108413864,1380392,2818760464,52
26,2064,1690,4260096,53664,110762496,1395264,2879824896,51
26,1937,1730,3751969,50362,97551194,1309412,2536331044,49
26,1920,1740,3686400,49920,95846400,1297920,2492006400,48
26,1883,1750,3545689,48958,92187914,1272908,2396885764,48
26,1852,1760,3429904,48152,89177504,1251952,2318615104,47
26,1841,1770,3389281,47866,88121306,1244516,2291153956,47
26,1839,1780,3381921,47814,87929946,1243164,2286178596,47
26,1662,970,2762244,43212,71818344,1123512,1867276944,42
27,2236,240,4999696,60372,134991792,1630044,3644778384,56
27,2021,1700,4084441,54567,110279907,1473309,2977557489,51
27,1956,1720,3825936,52812,103300272,1425924,2789107344,50
27,1653,960,2732409,44631,73775043,1205037,1991926161,41
28,2002,1710,4008004,56056,112224112,1569568,3142275136,51
29,2662,1650,7086244,77198,205501076,2238742,5959531204,59
29,2119,250,4490161,61451,130214669,1782079,3776225401,58
29,2449,720,5997601,71021,173930429,2059609,5043982441,53
30,2065,260,4264225,61950,127926750,1858500,3837802500,55
