Pressure,RPM,Time,RPM^2Pressure*RPMPressure* RPM^2Pressure^2 *RPMPressure^2 *RPM^2Temp
9,1339,1990,1792921,12051,16136289,108459,145226601,42
10,1377,2000,1896129,13770,18961290,137700,189612900,42
11,1413,2010,1996569,15543,21962259,170973,241584849,42
12,1413,2020,1996569,16956,23958828,203472,287505936,42
12,1430,2030,2044900,17160,24538800,205920,294465600,42
12,1455,2040,2117025,17460,25404300,209520,304851600,42
12,1484,2050,2202256,17808,26427072,213696,317124864,42
12,1492,2060,2226064,17904,26712768,214848,320553216,42
12,1518,2070,2304324,18216,27651888,218592,331822656,42
13,1547,2080,2393209,20111,31111717,261443,404452321,43
14,1569,2090,2461761,21966,34464654,307524,482505156,43
14,1600,2100,2560000,22400,35840000,313600,501760000,44
14,1606,2110,2579236,22484,36109304,314776,505530256,45
14,1612,2120,2598544,22568,36379616,315952,509314624,45
15,1617,2130,2614689,24255,39220335,363825,588305025,46
15,1649,2140,2719201,24735,40788015,371025,611820225,46
15,1657,2150,2745649,24855,41184735,372825,617771025,47
16,1688,2160,2849344,27008,45589504,432128,729432064,48
17,1710,2170,2924100,29070,49709700,494190,845064900,49
23,1959,2180,3837681,45057,88266663,1036311,2030133249,49
25,2021,2190,4084441,50525,102111025,1263125,2552775625,50
20,2315,2200,5359225,46300,107184500,926000,2143690000,53
19,2219,2210,4923961,42161,93555259,801059,1777549921,57
19,1945,2220,3783025,36955,71877475,702145,1365672025,55
18,1902,2230,3617604,34236,65116872,616248,1172103696,54
18,1899,2240,3606201,34182,64911618,615276,1168409124,52
17,1886,2250,3556996,32062,60468932,545054,1027971844,50
16,1741,2260,3031081,27856,48497296,445696,775956736,50
16,1697,2270,2879809,27152,46076944,434432,737231104,49
16,1673,2280,2798929,26768,44782864,428288,716525824,48
16,1670,2290,2788900,26720,44622400,427520,713958400,47
15,1670,2300,2788900,25050,41833500,375750,627502500,46
15,1642,2310,2696164,24630,40442460,369450,606636900,46
14,1617,2320,2614689,22638,36605646,316932,512479044,45
14,1592,2330,2534464,22288,35482496,312032,496754944,44
14,1557,2340,2424249,21798,33939486,305172,475152804,43
13,1513,2350,2289169,19669,29759197,255697,386869561,42
13,1467,2360,2152089,19071,27977157,247923,363703041,42
12,1467,2370,2152089,17604,25825068,211248,309900816,41
12,1427,2380,2036329,17124,24435948,205488,293231376,41
11,1389,2390,1929321,15279,21222531,168069,233447841,40
11,1382,2400,1909924,15202,21009164,167222,231100804,40
